question,answer,category,subcategory,setName,questionNumber,difficulty,setYear
The point group corresponding to this molecular geometry has eight C3 elements but no C4 or C5 elements. Addition-eliminations to ketones form an anionic intermediate with this geometry. Coordination complexes with this geometry split the d orbitals so that three are high-energy. Umbrella inversions during SN2 reactions occur on atoms with this geometry. Every atom in (*) diamond has this geometry. The cosine of its bond angle is negative one-third. Van t Hoff discovered that atoms with this geometry are asymmetric and form enantiomers. This geometry which is represented using wedges and dashed lines occurs at any saturated carbon atom with sp3 hybridization and 109 degree bond angles. For 10 points name this molecular geometry found in methane.,tetrahedral geometry [or tetrahedron],Science,Chemistry,2017 PACE NSC,12,5,2017
Differing magnitudes of this effect explains why K corrections are necessary to convert apparent magnitudes to absolute magnitudes. The last scattering surface has the maximum value of 1100 for a parameter describing this effect which roughly equals a ratio of two scale factors minus one. In a 1959 experiment the relativistic contribution to this effect was cancelled out by placing an iron-57 sample inside a loudspeaker on top of a building. A quantity symbolized z named for this effect is a proxy for (*) astronomical distances: thats because Hubbles law predicts most objects display this effect since the universe is expanding. For 10 points name this result of the Doppler effect in which a light source moving away from an observer appears to increase in wavelength toward a namesake color.,redshift [or gravitational redshift; or z until it is read; prompt on Doppler effect until it is read],Science,Physics,2017 PACE NSC,20,5,2017
Streptococcus is a member of a bacterial order conventionally named for this compound. The co-polymer between this compound and glycolic acid is commonly used in surgical implants. Ringers solution used for IV replacement is named for being supplemented with this organic compound. Tumor micro-environments are at low pH mainly because cancer cells make a lot of this (*) acid. In the Cori cycle this compound moves to the liver then is oxidized and converted into glucose via gluconeogenesis. This compound which has the formula C3H6O3 forms when NADH reduces pyruvate at the end of glycolysis. For 10 points name this byproduct of mammalian anaerobic fermentation which accumulates in the muscles after a vigorous workout and was first discovered in sour milk.,lactic acid [or lactate],Science,Biology,2017 PACE NSC,16,5,2017
In yeast Rap1 and the Sir proteins congregate at these structures which are located immediately next to the HML and HMR sites. Fluorescence in situ hybridization is combined with flow cytometry to analyze these structures. Most G-quadruplexes occur at them. An enzyme discovered in Tetrahymena and named for these structures is partly composed of a noncoding RNA that initiates reverse transcription. When cells (*) over-express the enzyme named for these structures they can surpass the Hayflick limit and become immortal. Because Okazaki fragments miss out on lagging strand sequence these structures gradually shorten over adult lifetimes. For 10 points name these repetitive sequences of DNA found at the ends of chromosomes.,telomeres [or telomerase; prompt on chromosomes],Science,Biology,2017 PACE NSC,2,5,2017
The HIV Rev response element forms a complex with the Crm1 protein that localizes to this structure. A group of proteins that form the Y-complex on this structure have consecutive repeats of phenylalanine-glycine. The Ran GTPase shuttles molecules with an NES through this structure with the help of exportin and importin. A common progeria is caused by a defect in the class V intermediate filaments on the interior of this structure which are called (*) lamins. This structure has small holes called porins and completely dissolves during prometaphase so that the chromosomes can bind to spindle fibers. This double membrane is continuous with the endoplasmic reticulum. For 10 points name this envelope that surrounds the cells genetic material.,nuclear membrane [or nuclear envelope; or nuclear lamina; or NE; prompt on nucleus or word forms],Science,Biology,2017 PACE NSC,1,5,2017
Pigs and castles named for this element are often used to follow the ALARA (uh-LARR-uh) safety protocols. Double contrasting in electron microscopy uses this elements citrate in combination with uranyl acetate. Either silver or this metal is added to detect iodide in solution since it forms a yellow precipitate. Because of the inert pair effect this element in the carbon group has a more stable plus-two oxidation state than (*) plus-four. This element is both oxidized and reduced by sulfuric acid in the oldest type of rechargeable galvanic cell. Because its 208-isotope is doubly magic the thorium and uranium decay series both end on this element. Galena is an ore of it. For 10 points name this toxic metal often used in radiation shielding which has the symbol Pb.,lead [or Pb until it is read],Science,Chemistry,2017 PACE NSC,17,5,2017
Laplace fixed Newtons model for the speed of sound by multiplying the pressure by a quantity named for this property to calculate the bulk modulus. This adjective describes a quantum state change in which the probability density evolves with a slowly changing Hamiltonian. In an ideal system with this property pressure times volume raised to the power of either five-thirds or seven-fifths is constant. On a P–V diagram curved lines representing processes with this property are (*) steeper than isotherms and correspond to isentropic processes such as the expansion phase in a Carnot (car-NOH) cycle. A process has this property if the work equals the change in internal energy which generally occurs only if the system is insulated. For 10 points name this type of process in which the net heat is zero.,adiabatic [or adiabatic index],Science,Physics,2017 PACE NSC,11,5,2017
The German word for single einzel(YNE-tzell) names a type of one of these devices composed of three cylinders of which the first and third are held at the same potential. In one theory these objects effectively take the Fourier transform of a plane wave and map it as a point spread function onto a backplane. An effect named for these devices can form Einstein rings; that effect can be used to map (*) exoplanets. The power of these objects is measured in inverse-meters or diopters and depends on the reciprocal of two radii according to an equation named for a maker of these things. These devices can produce comas. When rays traced through them do not convene at a single point they give spherical aberrations. For 10 points name these devices that refract and focus light.,lenses [or electrostatic lenses; or einzel lenses; or gravitational lenses],Science,Physics,2017 PACE NSC,18,5,2017
This process is induced in Magnetospirillum bacteria upon introduction of a magnetic field and cAMP (c-a-m-p) induces it in the genus Dictyostelium by forming a slug. The rate of this cellular process is measured in an assay where the experimenter literally scratches a tissue with a pipette. Actin polymerizes at the lamellipodium or leading edge during this process. Its not mitosis but in most eukaryotes this process is accomplished by an organelle homologous to a (*) centriole composed of a 9-plus-2 axoneme linked to a basal body. When this behavior depends upon a stimulus it is classified as either a taxis a kinesis or a tropism. Amoebas accomplish this process with pseudopodia. For 10 points name this basic cellular process facilitated by flagella and cilia.,cellular motion [or locomotion; or motility; or movement; or other word forms; or cellular migration; or cellular aggregation; accept taxis or chemotaxis or magnetotaxis until taxis is read],Science,Biology,2017 PACE NSC,12,5,2017
Because of a set of axioms Giuseppe Peano is the namesake of the first-order theory of this branch of mathematics. Polish notation is a syntactic form for creating expressions described by this branch of mathematics. Its not abstract algebra but a subfield of this branch focuses on congruences between numbers given a fixed modulus. Every integer greater than one is either prime or the product of prime numbers according to the (*) fundamental theorem of this discipline. A sequence described by this branch of math has a constant difference between consecutive terms and its namesake mean is the sum of a set of numbers divided by the number of numbers. For 10 points name this sub-branch of number theory that analyzes operations like addition and multiplication.,arithmetic [accept modular arithmetic; prompt on number theory until read],Science,Math,2017 PACE NSC,12,5,2017
For diatomic ideal gases a quantity named for this man roughly depends on the impact pressure over the static pressure all raised to the one-seventh power. This scientists son popularized an interferometer that uses two detectors and is co-named for Ludwig Zehnder. This physicist criticized Newtons thought experiment involving a bucket full of water by arguing that rotation is relative to the entire universe an idea that influenced (*) Einstein. If a quantity named for this man is less than 0.2 then a flow is incompressible. That constant named for this man determines whether or not pressure increases or decreases down a streamline and equals one for air moving at 343 meters per second. For 10 points name this physicist whose number equals velocity divided by the speed of sound.,Ernst Mach,Science,Physics,2017 PACE NSC,5,5,2017
Lewis Fry Richardson developed a set of differential equations used in modelling phenomena of interest in this science. In 1917 Vilhelm Bjerknes (BYURK-niss) started the Bergen School of this discipline; his students included Tor Bergeron whose namesake model of crystal growth is often used in this discipline. The synoptic scale of this discipline makes measurements on the order of thousands of kilometers. While working as a chemist in this science Kurt Vonneguts brother Bernard discovered that (*) silver iodide could be used to induce seeding of certain structures. Predictive models in this discipline fail due to chaos since the butterfly effect may cause an enormous change in the atmosphere of the future. For 10 points name this study of the weather.,meteorology [accept the study of weather until weather is read; accept equivalents mentioning weather such as weather forecasting; prompt on atmospheric sciences or answers mentioning atmosphere until atmosphere is read; prompt on earth science],Science,Other Science,2017 PACE NSC,21,5,2017
The hybrid pi and T models describe these objects when they receive small signals. Pinch-off in these devices is quantified by a channel-length modulation parameter symbolized lambda and a transconductance symbolized g. An old type of these devices is diagrammed using a circle intersected by three pins labelled C B and E. These devices characteristic curves converge to a steady-state value on an I–V diagram that is separated into an active region a cutoff region and a (*) saturation region. One type of these objects is named because it has two sets of junctions separating the base collector and emitter; however nowadays the most common type of them are MOSFETs. For 10 points name these electronic devices that can either amplify currents or act as switches.,transistors [or bipolar junction transistors; or BJTs; or field effect transistors; or FETs; or MOSFETs or metal-oxide-semiconductor field effect transistor until it is read],Science,Physics,2017 PACE NSC,6,5,2017
Ernst Haeckel first applied the idea that ontogeny recapitulates phylogeny to members of this phylum. The Spemann organizer was discovered in an animal from this phylum. As embryos members of this phylum form blobs of mesoderm called somites. In this phylum cleavage is indeterminate but forms a body that is never radially symmetric. A morphogenetic gradient of (*) sonic hedgehog patterns the AP axis in this phylum. Organisms in this phylum like Xenopus have a blastopore that develops into the anus making them deuterostomes just like echinoderms. During embryogenesis all members of this phylum have pharyngeal gill slits and a namesake tube of cartilage found below the neural tube. For 10 points name this phylum that includes hagfish frogs and humans.,Chordata [or chordates; do not accept or prompt on vertebrates or Vertebrata],Science,Biology,2017 PACE NSC,10,5,2017
The anxiety of people in this profession can be measured by the CSAI-2. Biologist Yannis Pitsiladis was unable to find genetic differences in Jamaicans in this profession an anecdote related in David Epsteins recent book looking for a gene for these people. People in this profession who suffer from a type of focal dystonia may have to relearn how to perform a simple task in order to avoid the involuntary (*) muscle contractions characterized by the syndrome. Dan McLaughlin has been testing whether one can become an expert in this profession by following Malcolm Gladwells 10000 hours dictum. People in this profession may suffer from a phenomenon known as the Yips. For 10 points name these people who might visit a psychologist to more consistently throw strikes.,athletes [or golfers; or sprinters; or runners; or baseball players],Science,Biology,2017 PACE NSC,19,5,2017
Poincaré (pwann-kah-RAY) stresses were introduced to explain this phenomenon. Lord Rayleigh failed to see birefringence in light passing through an anisotropic (AN-iso-TROP-ik) tube in a 1902 experiment aiming to disprove this effect. Paradoxes about this effect include one involving three ships held together by a thread and one where a ladder is carried through a barn. This effect is visualized in Minkowski space as the difference between two sides of a right triangle. It explains why the square root of one minus (*) v-squared over c-squared was the ratio of two distances in the Michelson–Morley experiment. That factor gamma shares its name with this effects formulator. For 10 points name this effect in special relativity in which objects moving near the speed of light appear to get shorter.,length contraction [or Lorentz contraction; prompt on partial answer],Science,Physics,2017 PACE NSC,6,5,2017
This quantity oddly jumps up on every other carbon atom added to a linear alkane. This value is measured in an apparatus where you view the sample in a capillary tube through a window while ramping up the voltage; it is then reported as a range to indicate sample purity. This quantity names the point at which 50 percent of a protein is denatured. This quantity is minimized for a mixture at its (*) eutectic point. It equals the enthalpy of fusion over the entropy of fusion. The change in this quantity equals molality times the cryoscopic constant. For water this value decreases as pressure goes up since its coexistence curves slope is negative. Adding salt to water depresses this property. For 10 points name this temperature at which a liquid turns solid.,melting point [or freezing point; or melting temperature; or freezing temperature],Science,Chemistry,2017 PACE NSC,7,5,2017
This compounds synthase was the first enzyme known to exhibit substrate channeling. This amino acid is at the end of the anthranilate branch of the shikimic acid pathway. Protein absorbance at 280 nanometers mostly depends on this amino acid. A leader sequence containing two adjacent residues of this rare amino acid allows its synthase to be attenuated. This compound is hydroxylated then decarboxylated in the Raphe nuclei to make serotonin. Jacques Monod (moh-NOH) discovered that this amino acids (*) operon is negative repressible as contrasted with the lac operon. This heaviest canonical amino acid has a side chain with two rings and has only a single codon. For 10 points name this amino acid symbolized W which despite a common myth is not what causes Thanksgiving drowsiness.,tryptophan [or W until it is read; or Trp],Science,Biology,2017 PACE NSC,3,5,2017
Systems featuring this parameter must have at least two degrees of freedom to avoid time-like singularities. Perlmutter Schmidt and Riess (reese) were given the 2011 Nobel Prize in Physics for studying type Ia (one-A) supernovae that showed the significance of this parameter. The phantom form of this component satisfies equations of state where a parameter denoted lowercase w is less than negative one. This parameter may be caused by the potential energy of the (*) quintessence field or it might manifest itself through the cosmological constant. In many models the ratio of this parameters density and pressure determines whether or not the Big Rip occurs. For 10 points what unobserved quantity has been posited to explain the accelerating expansion rate of the universe?,dark energy [prompt on w until it is read; accept dark energy density or dark energypressure; prompt on cosmological constant; prompt on energy; prompt on lambda],Science,Other Science,2017 PACE NSC,9,5,2017
Carbonic anhydrase and this protein localize to the octahedral microcompartments found in Synechococcus. This enzymes substrate is regenerated in a cycle of transketolases and transaldolases that converts five three-carbon compounds to three five-carbon compounds. This protein which is oddly active at a pH of 8 has a turnover number around one ha Hertz making it one of the (*) slowest enzymes. It turns ribulose 15-bisphosphate to 3-phosphoglycerate. This protein is segregated to bundle-sheath cells and is kept out of mesophyll cells in C4 organisms which prevents its wasteful photorespiration. It adds carbon dioxideCO2 to organic sugars in the Calvin cycle. For 10 points name this most abundant protein on Earth which makes up about half the weight of photosynthetic leaves.,RuBisCo [or ribulose bisphosphate carboxylase; or ribulose 15-bisphosphate carboxylase; or RuBPCase],Science,Biology,2017 PACE NSC,12,5,2017
The AMBER software package maps this scalar quantity to molecular structure. The standard unit for this quantity in quantum chemistry is the hartree. The Born–Oppenheimer approximation allows two forms of this quantity to add independently. Variational methods minimize this quantity. Franck–Condon and Jablonski diagrams implicitly plot this quantity along the (*) vertical axis. Transition states are saddle points on a plot of this quantity against the reaction coordinate. This quantity is the eigenvalue of the Hamiltonian in the Schrödinger equation. Degenerate orbitals have the same value for this quantity which determines the order in which electrons fill orbitals according to the aufbau(OWFF-bow) principle. For 10 points name this quantity that like work is measured in joules.,energy [or potential energy; or orbital energy; or electron energy; or kinetic energy; or free energy; or Gibbs free energy],Science,Chemistry,2017 PACE NSC,18,5,2017
Acid-urea gels are mainly used to fractionate these proteins. These proteins fold into a motif that looks like two people shaking hands. Post-translational modifications labelled K9 and K27 occur on this class of proteins which are covalently modified by Polycomb and Trithorax in Drosophila. These proteins naturally exist as octamers containing two copies each of their sub-types numbered 2A 2B 3 and 4. Bromodomains specifically bind these proteins (*) tails. These proteins neutralize a surrounding negative charge since theyre chock-full of arginines and lysines with positive charge. Methylation and acetylation of these nucleosomal proteins is key to epigenetic gene regulation. For 10 points name these beads around which DNA wraps to form chromatin.,histones,Science,Biology,2017 PACE NSC,18,5,2017
A component of these structures is labelled as either simple capitate or trifid based on its shape. These structures are formed in AP3 mutants but not AGAMOUS mutants of Arabidopsis since they form only when C genes are expressed in the ABC model. RNAses (R-N-azes) called S glycoproteins inside these structures regulate self-incompatibility by preventing tube elongation. Eight fused haploid cells without an arche·gonium form inside this structures mega·sporangium in (*) angiosperms. These structures are found in the fourth and innermost whorl of a flower. They are composed of an ovary a style and a sticky distal face called the stigma which catches pollen grains released by stamens. For 10 points name this component of the gyno·ecium the female sex organ of a flower.,carpels [or pistils; or gynoecium until it is read; or stigma until it is read; prompt on flowers],Science,Biology,2017 PACE NSC,4,5,2017
The hormone that activates synthesis of this compound is part of the same polypeptide as melanocyte-stimulating hormone which is why deficiencies in it often cause hyperpigmentation. Dexamethasone agonizes this compounds receptors. It is made by adding three hydroxyl groups at carbons 11 17 and 21 to progesterone in a pathway that diverges to make aldosterone. Poison ivy rashes are often treated by (*) topical administration of this compound which causes feedback inhibition of the hypothalamus-pituitary axis. This compound which is overproduced in Cushings syndrome is made in a namesake part of the adrenal glands upon stimulation by ACTH. Like epinephrine it raises blood sugar and pressure. For 10 points name this steroid that regulates the bodys stress response.,cortisol [or hydrocortisone; do not accept or prompt on cortisone],Science,Biology,2017 PACE NSC,15,5,2017
Michael Ghiselin published a paper explaining evolutionary strategies for this phenomenon such as the low-density model. In Charnovs explanation a convex fitness set curve favors this phenomenon while a concave curve favors dioecy (DIE-ee-see). The California sheephead fish exhibits the protogynous form of this phenomenon which is favored by territoriality and mate selection. Clownfish possess the sequential form of this feature while (*) earthworms exhibit its simultaneous form. Plants that exhibit this phenomenon have perfect flowers that have both carpels and stamens. Monoecious (muh-NE-shiss) plants exhibiting this strategy can vary flowering times to prevent self-fertilization. For 10 points name this strategy in which animals produce gametes of both sexes.,hermaphroditism [accept word forms like hermaphrodite; accept monoecy until monoecious is read],Science,Biology,2018 PACE NSC,20,5,2018
Electroosmotic (electro-oz-MOT-ik) flow occurs during a form of electrophoresis (electro-for-EE-siss) named for these objects. The length scale at which a drop of liquid begins to flatten due to gravity is named for this object. The time needed for a liquid to flow between two points in one of them is used in certain forms of viscometry (viss-KOM-uh-tree). An analyte is placed in one of them before being heated in a (*) MEL-TEMP (mel-temp) device to determine melting point. Due to the shape of these objects surface tension and adhesive forces cause a namesake effect to form a meniscus. These items name an effect in which liquids may flow into them opposing the force of gravity which is their namesake action. For 10 points name these extremely narrow tubes that share their name with very thin blood vessels.,capillary (CAP-ill-airy) tubes [or capillaries; or capillary electrophoresis; or capillary action; prompt on tubes],Science,Chemistry,2018 PACE NSC,11,5,2018
The resonating valence bond theory explains this property which occurs in many strongly correlated systems such as certain heavy fermion compounds and cuprate complexes. Commonly used materials with this property include alloys of either tin or titanium with niobium. One theory of this property was confirmed by replacing natural mercury with mercury-198 to demonstrate the isotope effect; that theory posits that (*) phonons mediate the condensation of electrons into bosonic quasiparticles. BCS theory describes materials with this property whose high temperature form involves a critical transition above the boiling point of liquid nitrogen. For 10 points name this property where a material displays zero electrical resistance.,superconductivity,Science,Physics,2018 PACE NSC,3,5,2018
A condition named for this quantity is also called the admissibility condition for the Rankine–Hugoniot (RANK-in-oo-gohn-YOH) equations and is violated by rarefaction (rair-uh-faction) shock waves. The rate of production of this quantity per unit volume times absolute temperature is called the dissipation whose non-zero value results in lost work. While this quantity is macroscopically a monotonic function it does not change in a microscopically (*) reversible process. It is equal to Boltzmanns constant times the natural log of the number of microstates. For 10 points name this quantity that always increases in a closed system according to the second law of thermodynamics the measure of disorder in a system.,entropy,Science,Physics,2018 PACE NSC,9,5,2018
Removing three holes from one of these objects creates a topological surface called the pair of pants. A Morin surface is formed by manipulating one of these objects and David Hilbert illustrated that all geodesics (geo-DEE-sicks) on this structure are closed curves. The number of these objects that can touch another one of these objects is known as the (*) kissing number. Johannes Kepler proposed a famous conjecture about the optimal packings for this structure in three-dimensional space. A coordinate system named after this object represents points as a distance a polar angle and an azimuthal angle. For 10 points name this object that consists of all points in three-dimensional space that are equidistant to a given point.,spheres,Science,Math,2018 PACE NSC,7,5,2018
Von Weizsäcker (VYTE-secker) developed a functional to describe this quantity that is commonly used in Thomas–Fermi DFT. This quantity is transferred from large-scale to small-scale eddies in a Kolmogorov (kull-ma-GOR-uff) cascade. In time-of-flight mass spectrometry all ions with the same charge will also have the same value of this quantity. By measuring this quantity for an emitted photoelectron one can calculate the work function of a metal. This quantity equals gamma minus one times (*) m c-squared in special relativity and p-squared divided by 2m in Newtonian mechanics. This quantity is conserved in elastic collisions but not inelastic collisions. For 10 points name this quantity which equals one-half times mass times velocity squared and represents the energy of motion.,kinetic energy [prompt on K or T; prompt on energy],Science,Physics,2018 PACE NSC,4,5,2018
The monitor is part of the input hypothesis of this process posited by Stephen Krashen. Johnson and Newport argued that at the onset of puberty biology makes this process considerably more difficult. The term fossilization describes when this process generally ceases. Transfer also known as L1 interference refers to the existing mental frameworks used in performing this task. This process may be limited to a critical period and once it has been achieved a person might start to employ (*) code switching. Prior knowledge can result in the use of false friends during this process that is often accomplished in classes requiring the memorization of vocabulary words. For 10 points name this process by which a monolingual person becomes bilingual.,second-language acquisition [or second language learning; or L2 learning; or L2 acquisition; accept answers indicating learning or acquiring a non-native language or second language or new language; accept answers indicating becoming bilingual until bilingual is read; prompt on language learning or more general answers describing education or learning],Science,Other Science,2018 PACE NSC,3,5,2018
The Schwarz–Christoffel mapping is applied on sets of these numbers as are all conformal mappings. Functions of these numbers are often visualized using color-wheel graphs. Several theorems about these numbers can be proven using the maximum modulus principle. If a function whose values are numbers of this type is differentiable at every point of its domain then it is known as a holomorphic function. A field of (*) analysis named after these numbers was founded by Augustin-Louis Cauchy (koh-SHEE). Roots of these numbers can be calculated using De Moivres (duh MWAHVs) formula. Any number of this type multiplied by its conjugate equals a real number. For 10 points name these numbers that take the form a plus b i.,complex numbers,Science,Math,2018 PACE NSC,14,5,2018
A class of compounds named for this element consists of a combination of a group-one metal sulfate salt and this elements sulfate salt. Either silicon dioxide or this elements oxide are the most common materials used for the stationary phase in column chromatography (chrome-uh-TAH-graphy). A very strong reducing agent consists of lithium this element and four atoms of (*) hydrogen. A mineral containing this element three atoms of sodium and six atoms of fluorine called cryolite (CRY-oh-light) is used as a solvent in the purification process of this element. That process reduces this elements oxide using electrolysis and was discovered by Charles Hall and Paul Héroult (ay-ROO). For 10 points identify this element obtained from bauxite which has symbol Al.,aluminum [or Al until read; or lithium aluminum hydride; do not accept or prompt on alumina] (The lead-in refers to the alum class of compounds.),Science,Chemistry,2018 PACE NSC,9,5,2018
Mutation of the HFE gene can cause this element to build up in the body. The protein conalbumin from egg whites binds to this element. Regulation of this element is controlled by stem loops known as this elements namesake response element. The enzyme that converts citrate to isocitrate contains a central cluster that has four atoms of this metal. Aconitase is a member of a family of proteins named for this element and (*) sulfur. Cytochromes and catalase have a prosthetic group in which this metal coordinates with a porphyrin ring to help bind oxygen. This element which is transported by transferrin and ferritin is deficient in the most common type of anemia. For 10 points name this metal found in the heme (heem) group of hemoglobin.,iron [or Fe],Science,Biology,2018 PACE NSC,6,5,2018
Organisms in this species require the action of proteins such as EAT-2 and EAT-18 to allow for pharyngeal pumping when they are feeding. Some of these organisms wave their bodies in the air during nictation which they commonly perform on filamentous structures such as hyphae. The larvae of these organisms can arrest development and enter the dauer stage which is optimized for long-term survival. Sulston and Horvitz shared a Nobel Prize for (*) mapping out the lineage of each of the 1031 somatic cells in this organisms body. Sydney Brenner established the use of this animal as a model organism for the neural development of animals. Larvae of these animals develop through the L1 to L4 stages. For 10 points name this nematode worm.,C. elegans [or Caenorhabditis elegans],Science,Biology,2018 PACE NSC,2,5,2018
This phenomenon can be empirically modelled using the Oswald efficiency factor. The strength of this phenomenon increases drastically in the presence of an adverse pressure gradient due to boundary layer separation. Paradoxically classical analysis indicates that this phenomenon cannot be present in an irrotational incompressible and inviscid (in-VISS-id) system. This phenomenons namesake coefficient is typically plotted as a function of the (*) Reynolds number. The common quadratic form of this force is proportional to the square of an objects velocity. This force counterbalances gravity for an object falling at terminal velocity. For 10 points name this aerodynamic force that acts in opposition to the direction of motion.,drag [or air resistance; prompt on friction],Science,Physics,2018 PACE NSC,20,5,2018
This algorithm produces nearly the same result as Halleys method when the second derivative of the input function is near zero. The ancient Babylonians used a special case of this algorithm that averages an overestimate and an underestimate to compute square roots. This algorithm is often favored over both the bisection method and the secant method since it has a quadratic rate of convergence. This algorithm which was co-discovered by James Raphson successively generates the (*) nth value of a function by evaluating the expression consisting of the n-minus-one-th value negative f of x-sub-n divided by f-prime of x-sub-n. For 10 points name this root-finding algorithm named for the British co-inventor of calculus.,Newtons method [or Newton–Raphson method],Science,Math,2018 PACE NSC,16,5,2018
Batrachotoxin (ba-TRACK-oh-toxin) irreversibly binds to proteins that transport this element. The drugs ouabain (wah-BAY-in) and digoxin (dij-OX-in) both cause the buildup of this element within cells. A group of proteins that affects blood levels of this element comes in atrial brain and C types and includes ANP. Gliflozins which are drugs used to treat Type II diabetes inhibit symporters that transport (*) glucose and this element. Channels of this element are deactivated during the refractory period of an action potential. Three ions of this element are pumped out of the cell and exchanged for potassium in an ATP-powered pump. The excretion of this element in the urine is known as natriuresis (NAY-tree-yur-EE-siss). For 10 points name this element whose chloride is found in saline solution.,sodium [or Na+],Science,Biology,2018 PACE NSC,20,5,2018
This compound and water are produced in a process found in Brocadia and other bacteria with distinctive ladderane lipids. This gas is produced in a specialized organelle with a riboplasm and paryphoplasm which is known as the anammoxosome (anna-MOX-oh-some). Oxygen often interferes with the reduction of this element which can be alleviated by leghemoglobin (leg-hemoglobin). An enzyme that reduces this compound relies on an (*) iron molybdenum cofactor found in the legume-associating Rhizobium bacteria. Diazotrophs can aid fixation of this compound and convert it to ammonia. This element phosphorus and potassium are the major ingredients of fertilizers. For 10 points name this gas central to a biogeochemical cycle which makes up the majority of the atmosphere.,nitrogen [or dinitrogen gas; accept N2],Science,Biology,2018 PACE NSC,19,5,2018
This quantity is the only intensive variable that the canonical ensemble is dependent on. This quantity is the independent variable in TGM analysis. The change in entropy is equal to the integrand of the infinitesimal change in heat divided by this quantity according to the Clausius inequality. The second virial coefficient equals zero at a particular value for this quantity named for (*) Boyle. Helmholtz free energy equals internal energy minus entropy times this quantity and it is the conjugate variable of entropy. The average kinetic energy for gas molecules is proportional to this quantity. For 10 points identify this quantity plotted on the x-axis of phase diagrams against pressure.,temperature [or T; do not accept or prompt on heat],Science,Chemistry,2018 PACE NSC,2,5,2018
This process produces junction complexes known as EJCs which can trigger nonsense-mediated decay. The Group I and Group II types of a certain molecule can self-catalytically perform this process without requiring enzymes. The polypyrimidine tract is an important cis-acting element that regulates this process. This process requires a branch point and often follows the GU-AG rule. In this process the U2 and U6 (*) snRNPs (snurps) bind to a lariat structure. The alternative type of this process which allows for a single gene to code for multiple proteins can occur through exon skipping. After this process exons are ligated and exit the nucleus. For 10 points name this post-translational modification in which introns are removed from pre-mRNA.,mRNA splicing,Science,Biology,2018 PACE NSC,12,5,2018
Higher-order examples of these things include filter and bind both of which allow for partial application. Christopher Strachey proposed treating these things as first-class citizens which allows them to be passed as arguments. The technique known as currying reduces the arity (AIR-it-ee) of these things to one and is often used to optimize tail calls. Compilers can inline the (*) body of these things as an optimization to increase a programs speed. A programming paradigm named for these objects lacks side effects and is exemplified by ML and Haskell. Methods and subroutines are examples of for 10 points what procedures in computer science that are similar to mathematical entities that map a domain onto a range?,functions [accept purely functional programming; accept partial functions first-order functions or higher-order functions; prompt on methods or subroutines or procedures or subprograms],Science,Other Science,2018 PACE NSC,16,5,2018
Maria Goeppert-Meyer names a unit for the cross-section for absorption of two of these particles at once. Transition-edge sensors were used to close these particles detection loophole which arose when using these particles to test Bells theorem. The rates of processes which produce or emit these particles are measured by the Einstein coefficients. In quantum electrodynamics the exchange of (*) virtual examples of these particles mediates the electromagnetic force. A population inversion of electrons inside a gain medium inside a cavity resonator enables the stimulated emission of these particles at a single frequency by a laser. For 10 points name these quanta of light.,photons,Science,Physics,2018 PACE NSC,5,5,2018
The relationship between price and this quantity was determined to be pro-cyclical in a 1986 paper by Robert Hall who strongly rejected an efficiency relation between the two variables. The shutdown zone consists of points on the curve representing this quantity where it is less than the average expenditure on variable inputs. Unlike firms in perfect competition monopolies are able to charge markups above this value in the long run. The curve representing this quantity intersects the (*) ATC curve where the slope of the ATC curve is zero. By definition a firm can make a profit on sales up until the point where a quantity denoted MR equals this quantity. For 10 points give this term for the cost of producing one additional good.,marginal cost [accept marginal after cost is read; prompt on cost or price],Science,Other Science,2018 PACE NSC,7,5,2018
This economists observations on the distribution of property ownership were applied analogously by Joseph Juran to management theory. In sociology this economist developed a theory of regime change based on the circulation of elites. A condition named for this economist which is asserted by the first theorem of welfare economics to hold for any competitive equilibrium is generalized to allow for compensation of lost utility by the (*) Kaldor–Hicks criterion. This economist sometimes names a law of the vital few according to which most effects stem from a few causes referred to as 80/20 principle. A condition in which no individual can be better off without making another worse off is called for 10 points what Italians namesake efficiency?,Vilfredo Pareto [accept Pareto principle or Pareto rule or Pareto efficiency],Science,Other Science,2018 PACE NSC,4,5,2018
The time of flight of an object whose trajectory is this shape is related to the true anomaly of an orbit by Barkers Equation. Some telescopes work by storing liquid mercury in a container of Kevlar and spinning the container so that the mercury takes on this two-dimensional shape. An astronomical body whose orbit is this shape has a characteristic energy of (*) zero. James Gregory realized that spherical and chromatic aberrations in Newtonian telescopes could be reduced by adding reflectors named for this two-dimensional shape. Orbits with this shape are always travelling at but not over the escape velocity. Long-period comets have an elliptical orbit that can be approximated by for 10 points what conic section whose eccentricity is one?,parabola [or parabolic; accept paraboloid or parabolic reflectors],Science,Other Science,2018 PACE NSC,9,5,2018
A rare form of this disease that causes a brain inflammation is called subacute sclerosing panencephalitis. Infection by this disease is diagnosed by the presence of blue-white Koplik spots near the back molars. This disease causes the three Cs of cough coryza and conjunctivitis. This diseases name comes first alphabetically in a treatment alleged to cause developmental disorders in a now-retracted 1998 Lancet article by Andrew (*) Wakefield. The causative agent of this disease evolved from the rinderpest virus and is part of the Morbillivirus genus. This disease also known as rubeola infected dozens at Disneyland in 2015. For 10 points name this very contagious disease in children that is often vaccinated against with mumps and rubella.,measles [or measles virus; or MV; accept rubeola before read],Science,Biology,2018 PACE NSC,21,5,2018
